Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
31,31,5,5,26,26,20,Train/20/00020_00008_00004.png
32,31,6,5,27,26,20,Train/20/00020_00008_00006.png
32,33,5,6,27,28,20,Train/20/00020_00008_00007.png
40,40,5,5,35,35,20,Train/20/00020_00008_00018.png
42,43,5,6,37,38,20,Train/20/00020_00008_00020.png
61,61,6,6,56,56,20,Train/20/00020_00008_00027.png
36,36,5,5,31,31,20,Train/20/00020_00009_00002.png
40,40,6,6,35,35,20,Train/20/00020_00009_00011.png
39,39,5,5,34,34,20,Train/20/00020_00009_00013.png
45,44,6,5,40,39,20,Train/20/00020_00009_00018.png
47,47,6,6,42,42,20,Train/20/00020_00009_00021.png
56,57,5,6,51,52,20,Train/20/00020_00009_00026.png
61,60,6,5,56,55,20,Train/20/00020_00009_00029.png
29,25,6,5,24,20,20,Train/20/00020_00010_00000.png
33,29,6,5,28,24,20,Train/20/00020_00010_00002.png
37,33,6,5,32,28,20,Train/20/00020_00010_00007.png
37,34,5,5,32,29,20,Train/20/00020_00010_00008.png
42,37,6,5,36,31,20,Train/20/00020_00010_00012.png
42,38,5,5,36,32,20,Train/20/00020_00010_00013.png
51,46,6,5,46,40,20,Train/20/00020_00010_00019.png
63,55,6,5,57,50,20,Train/20/00020_00010_00023.png
95,84,8,8,87,77,20,Train/20/00020_00010_00029.png
30,28,5,6,25,23,20,Train/20/00020_00011_00004.png
31,27,5,5,25,22,20,Train/20/00020_00011_00005.png
35,32,6,5,29,26,20,Train/20/00020_00011_00010.png
42,38,6,5,36,33,20,Train/20/00020_00011_00016.png
33,34,6,6,28,28,0,Train/0/00000_00000_00006.png
37,38,6,6,32,33,0,Train/0/00000_00000_00011.png
46,44,6,5,41,39,0,Train/0/00000_00000_00016.png
63,61,6,5,57,56,0,Train/0/00000_00000_00022.png
144,148,12,13,132,136,0,Train/0/00000_00000_00029.png
30,30,6,5,25,25,0,Train/0/00000_00001_00001.png
31,31,6,6,26,26,0,Train/0/00000_00001_00003.png
32,32,6,6,27,27,0,Train/0/00000_00001_00005.png
34,33,6,5,29,28,0,Train/0/00000_00001_00007.png
33,33,5,5,28,28,0,Train/0/00000_00001_00008.png
34,33,6,5,29,28,0,Train/0/00000_00001_00009.png
36,36,5,6,31,31,0,Train/0/00000_00001_00013.png
43,43,6,5,38,38,0,Train/0/00000_00001_00020.png
57,59,5,6,51,54,0,Train/0/00000_00001_00028.png
59,61,5,5,54,55,0,Train/0/00000_00001_00029.png
27,28,5,6,22,23,0,Train/0/00000_00002_00001.png
30,29,6,5,25,24,0,Train/0/00000_00002_00003.png
32,31,6,5,27,26,0,Train/0/00000_00002_00007.png
34,34,5,5,29,29,0,Train/0/00000_00002_00010.png
55,55,6,6,50,50,0,Train/0/00000_00002_00021.png
69,70,7,6,63,64,0,Train/0/00000_00002_00024.png
74,75,6,6,68,69,0,Train/0/00000_00002_00025.png
107,108,10,9,98,99,0,Train/0/00000_00002_00028.png
28,29,5,6,22,23,0,Train/0/00000_00003_00001.png
36,35,6,5,31,30,0,Train/0/00000_00003_00010.png
38,39,5,6,32,33,0,Train/0/00000_00003_00013.png
51,52,5,5,46,47,0,Train/0/00000_00003_00020.png
53,54,5,5,48,49,0,Train/0/00000_00003_00021.png
94,93,8,9,86,85,0,Train/0/00000_00003_00028.png
57,61,5,5,52,55,0,Train/0/00000_00004_00003.png
63,68,6,6,57,62,0,Train/0/00000_00004_00007.png
68,72,6,7,61,65,0,Train/0/00000_00004_00011.png
70,73,7,7,64,67,0,Train/0/00000_00004_00012.png
70,74,7,7,64,68,0,Train/0/00000_00004_00014.png
76,80,7,7,69,72,0,Train/0/00000_00004_00018.png
98,106,8,10,90,97,0,Train/0/00000_00004_00028.png
29,28,5,5,24,23,0,Train/0/00000_00005_00002.png
30,28,5,5,25,23,0,Train/0/00000_00005_00003.png
31,30,5,6,26,25,0,Train/0/00000_00005_00005.png
34,33,6,6,29,28,0,Train/0/00000_00005_00009.png
35,33,5,5,30,28,0,Train/0/00000_00005_00011.png
63,62,5,6,58,57,0,Train/0/00000_00005_00024.png
83,82,8,7,76,75,0,Train/0/00000_00005_00027.png
95,94,9,8,87,85,0,Train/0/00000_00005_00028.png
109,108,9,10,100,99,0,Train/0/00000_00005_00029.png
36,39,5,6,31,34,0,Train/0/00000_00006_00003.png
45,47,6,6,40,42,0,Train/0/00000_00006_00011.png
46,49,5,6,41,44,0,Train/0/00000_00006_00012.png
48,51,6,6,43,45,0,Train/0/00000_00006_00013.png
50,53,5,6,45,48,0,Train/0/00000_00006_00014.png
53,55,6,6,48,50,0,Train/0/00000_00006_00015.png
82,85,8,7,74,77,0,Train/0/00000_00006_00024.png
55,57,5,6,50,52,1,Train/1/00001_00000_00001.png
59,59,6,6,54,53,1,Train/1/00001_00000_00004.png
57,59,5,6,52,54,1,Train/1/00001_00000_00005.png
57,59,5,5,52,54,1,Train/1/00001_00000_00006.png
68,68,7,7,62,62,1,Train/1/00001_00000_00013.png
81,81,8,8,74,74,1,Train/1/00001_00000_00020.png
82,82,7,7,75,75,1,Train/1/00001_00000_00021.png
89,88,8,7,82,81,1,Train/1/00001_00000_00023.png
100,104,9,9,92,95,1,Train/1/00001_00000_00026.png
108,110,10,9,99,101,1,Train/1/00001_00000_00028.png
30,33,5,6,25,28,1,Train/1/00001_00001_00001.png
32,33,5,6,26,28,1,Train/1/00001_00001_00004.png
38,37,6,5,33,31,1,Train/1/00001_00001_00009.png
39,41,5,6,34,35,1,Train/1/00001_00001_00013.png
44,46,5,6,39,40,1,Train/1/00001_00001_00017.png
48,48,5,5,43,43,1,Train/1/00001_00001_00020.png
51,50,6,5,46,45,1,Train/1/00001_00001_00021.png
61,57,6,5,56,52,1,Train/1/00001_00001_00026.png
45,47,5,5,40,42,1,Train/1/00001_00002_00001.png
46,48,6,6,41,43,1,Train/1/00001_00002_00002.png
47,49,5,5,41,43,1,Train/1/00001_00002_00006.png
50,50,6,5,45,45,1,Train/1/00001_00002_00007.png
52,55,5,6,47,50,1,Train/1/00001_00002_00012.png
54,56,6,6,48,50,1,Train/1/00001_00002_00017.png
56,57,6,6,50,52,1,Train/1/00001_00002_00018.png
57,56,6,5,52,51,1,Train/1/00001_00002_00019.png
57,57,6,6,52,52,1,Train/1/00001_00002_00020.png
29,32,5,6,24,26,1,Train/1/00001_00003_00006.png
34,33,6,6,29,28,1,Train/1/00001_00003_00008.png
36,37,5,6,30,31,1,Train/1/00001_00003_00010.png
37,38,5,6,31,32,1,Train/1/00001_00003_00011.png
54,53,6,5,49,48,1,Train/1/00001_00003_00019.png
54,56,5,6,48,50,1,Train/1/00001_00003_00020.png
76,79,6,7,70,72,1,Train/1/00001_00003_00024.png
41,42,5,6,36,37,1,Train/1/00001_00004_00001.png
73,75,6,7,67,69,1,Train/1/00001_00004_00009.png
31,32,5,6,26,27,1,Train/1/00001_00004_00014.png
37,38,5,6,32,33,1,Train/1/00001_00004_00020.png
44,43,6,5,39,38,1,Train/1/00001_00004_00023.png
63,64,5,6,58,59,1,Train/1/00001_00004_00029.png
29,30,5,5,24,25,1,Train/1/00001_00005_00001.png
30,30,5,5,25,25,1,Train/1/00001_00005_00003.png
32,34,5,6,27,29,1,Train/1/00001_00005_00006.png
34,32,6,6,29,27,1,Train/1/00001_00005_00007.png
38,38,6,6,32,32,1,Train/1/00001_00005_00011.png
42,40,5,6,37,35,1,Train/1/00001_00005_00014.png
49,47,5,5,43,42,1,Train/1/00001_00005_00018.png
63,63,5,6,57,57,1,Train/1/00001_00005_00028.png
43,50,5,5,38,45,1,Train/1/00001_00006_00003.png
51,59,5,5,45,54,1,Train/1/00001_00006_00012.png
55,67,5,6,50,61,1,Train/1/00001_00006_00015.png
57,70,5,7,52,64,1,Train/1/00001_00006_00016.png
55,56,5,6,50,50,1,Train/1/00001_00007_00005.png
60,59,5,5,55,54,1,Train/1/00001_00007_00010.png
64,64,5,6,59,59,1,Train/1/00001_00007_00013.png
74,71,7,7,68,65,1,Train/1/00001_00007_00017.png
80,75,8,7,73,69,1,Train/1/00001_00007_00019.png
82,77,8,7,75,71,1,Train/1/00001_00007_00020.png
97,96,8,9,89,88,1,Train/1/00001_00007_00026.png
43,46,5,5,38,41,1,Train/1/00001_00008_00002.png
43,47,5,5,38,42,1,Train/1/00001_00008_00004.png
46,49,6,5,41,44,1,Train/1/00001_00008_00007.png
48,51,6,5,43,46,1,Train/1/00001_00008_00011.png
49,53,5,6,44,48,1,Train/1/00001_00008_00013.png
51,54,5,5,46,49,1,Train/1/00001_00008_00016.png
51,56,5,5,46,51,1,Train/1/00001_00008_00017.png
53,59,5,5,48,54,1,Train/1/00001_00008_00021.png
62,70,6,7,57,64,1,Train/1/00001_00008_00027.png
28,30,5,6,23,25,1,Train/1/00001_00009_00000.png
28,29,5,5,23,24,1,Train/1/00001_00009_00001.png
31,31,5,5,25,25,1,Train/1/00001_00009_00004.png
33,33,6,6,27,28,1,Train/1/00001_00009_00005.png
33,34,6,6,28,29,1,Train/1/00001_00009_00006.png
33,33,5,5,28,28,1,Train/1/00001_00009_00008.png
36,36,5,6,30,30,1,Train/1/00001_00009_00011.png
39,39,6,6,34,34,1,Train/1/00001_00009_00014.png
42,42,6,6,37,37,1,Train/1/00001_00009_00017.png
43,44,5,6,38,39,1,Train/1/00001_00009_00018.png
46,45,5,5,41,40,1,Train/1/00001_00009_00020.png
55,53,6,5,50,48,1,Train/1/00001_00009_00023.png
57,55,6,5,52,50,1,Train/1/00001_00009_00024.png
57,58,5,6,52,53,1,Train/1/00001_00009_00025.png
59,60,5,5,54,55,1,Train/1/00001_00009_00026.png
31,30,6,5,26,24,1,Train/1/00001_00010_00002.png
31,31,6,6,26,26,1,Train/1/00001_00010_00005.png
32,34,5,6,27,28,1,Train/1/00001_00010_00008.png
37,36,6,5,32,30,1,Train/1/00001_00010_00012.png
37,38,5,6,32,33,1,Train/1/00001_00010_00013.png
41,41,6,6,36,36,1,Train/1/00001_00010_00016.png
51,51,6,6,46,46,1,Train/1/00001_00010_00022.png
57,56,6,5,52,51,1,Train/1/00001_00010_00024.png
60,59,6,5,55,54,1,Train/1/00001_00010_00025.png
27,28,5,5,22,23,1,Train/1/00001_00011_00000.png
29,31,5,6,24,26,1,Train/1/00001_00011_00002.png
33,35,5,5,28,30,1,Train/1/00001_00011_00008.png
37,36,6,5,32,31,1,Train/1/00001_00011_00011.png
41,42,5,6,36,37,1,Train/1/00001_00011_00015.png
42,42,5,5,37,37,1,Train/1/00001_00011_00016.png
47,45,6,6,42,40,1,Train/1/00001_00011_00018.png
50,48,5,5,45,43,1,Train/1/00001_00011_00020.png
54,52,6,6,49,47,1,Train/1/00001_00011_00021.png
64,63,5,5,58,57,1,Train/1/00001_00011_00024.png
73,71,7,7,66,65,1,Train/1/00001_00011_00025.png
104,107,9,10,95,97,1,Train/1/00001_00011_00028.png
121,124,11,10,111,113,1,Train/1/00001_00011_00029.png
28,30,5,6,23,25,1,Train/1/00001_00012_00000.png
43,43,6,5,38,38,1,Train/1/00001_00012_00016.png
44,45,5,5,39,40,1,Train/1/00001_00012_00017.png
60,60,6,6,55,55,1,Train/1/00001_00012_00023.png
68,69,6,7,62,63,1,Train/1/00001_00012_00025.png
74,75,6,7,68,69,1,Train/1/00001_00012_00026.png
42,42,5,5,37,37,1,Train/1/00001_00013_00000.png
46,45,6,5,41,40,1,Train/1/00001_00013_00006.png
48,49,5,6,43,44,1,Train/1/00001_00013_00010.png
50,52,6,6,45,46,1,Train/1/00001_00013_00012.png
51,54,6,6,45,48,1,Train/1/00001_00013_00014.png
55,58,5,6,50,53,1,Train/1/00001_00013_00017.png
64,69,6,7,59,63,1,Train/1/00001_00013_00023.png
84,86,7,7,77,79,1,Train/1/00001_00013_00028.png
92,93,9,8,84,85,1,Train/1/00001_00013_00029.png
32,31,6,5,26,25,1,Train/1/00001_00014_00003.png
31,32,5,6,26,27,1,Train/1/00001_00014_00005.png
41,41,5,5,35,35,1,Train/1/00001_00014_00017.png
46,46,5,5,40,41,1,Train/1/00001_00014_00020.png
48,49,6,5,43,43,1,Train/1/00001_00014_00021.png
54,57,5,6,49,52,1,Train/1/00001_00014_00023.png
82,76,7,7,75,70,1,Train/1/00001_00014_00027.png
27,28,6,6,22,22,1,Train/1/00001_00015_00001.png
32,32,6,5,26,26,1,Train/1/00001_00015_00008.png
35,37,5,6,30,31,1,Train/1/00001_00015_00012.png
39,39,5,5,33,33,1,Train/1/00001_00015_00014.png
43,41,6,5,38,36,1,Train/1/00001_00015_00016.png
56,56,6,6,51,51,1,Train/1/00001_00015_00022.png
60,61,5,6,55,56,1,Train/1/00001_00015_00023.png
85,87,7,8,78,80,1,Train/1/00001_00015_00026.png
121,120,10,11,110,110,1,Train/1/00001_00015_00028.png
35,36,5,6,30,31,1,Train/1/00001_00016_00003.png
39,41,6,6,34,36,1,Train/1/00001_00016_00009.png
40,42,6,6,35,37,1,Train/1/00001_00016_00010.png
51,51,6,6,46,46,1,Train/1/00001_00016_00018.png
63,63,6,5,58,57,1,Train/1/00001_00016_00023.png
82,81,7,7,74,74,1,Train/1/00001_00016_00027.png
91,92,8,9,83,84,1,Train/1/00001_00016_00028.png
32,33,5,6,27,28,1,Train/1/00001_00017_00000.png
35,36,5,6,30,31,1,Train/1/00001_00017_00003.png
35,35,5,5,30,30,1,Train/1/00001_00017_00004.png
35,36,5,5,30,30,1,Train/1/00001_00017_00006.png
45,46,5,5,40,41,1,Train/1/00001_00017_00015.png
50,53,5,6,45,48,1,Train/1/00001_00017_00018.png
58,57,6,5,53,51,1,Train/1/00001_00017_00021.png
67,69,6,6,61,63,1,Train/1/00001_00017_00024.png
39,40,6,6,33,34,1,Train/1/00001_00018_00001.png
45,46,6,5,40,41,1,Train/1/00001_00018_00006.png
50,52,5,6,44,46,1,Train/1/00001_00018_00010.png
53,52,6,5,47,47,1,Train/1/00001_00018_00011.png
81,83,7,7,74,76,1,Train/1/00001_00018_00021.png
29,29,6,6,24,24,1,Train/1/00001_00019_00000.png
28,29,6,6,23,24,1,Train/1/00001_00019_00002.png
30,30,5,5,25,25,1,Train/1/00001_00019_00003.png
30,31,5,5,25,26,1,Train/1/00001_00019_00005.png
31,32,6,6,26,27,1,Train/1/00001_00019_00007.png
33,33,6,5,28,28,1,Train/1/00001_00019_00009.png
37,37,5,5,32,32,1,Train/1/00001_00019_00015.png
41,42,5,6,36,37,1,Train/1/00001_00019_00018.png
48,49,6,6,43,44,1,Train/1/00001_00019_00023.png
46,50,6,5,40,44,1,Train/1/00001_00020_00002.png
50,55,5,6,44,50,1,Train/1/00001_00020_00008.png
51,54,6,5,46,49,1,Train/1/00001_00020_00009.png
56,58,5,5,51,53,1,Train/1/00001_00020_00013.png
62,64,5,6,57,59,1,Train/1/00001_00020_00018.png
65,65,6,6,60,60,1,Train/1/00001_00020_00019.png
75,73,7,6,69,67,1,Train/1/00001_00020_00024.png
79,80,7,7,72,73,1,Train/1/00001_00020_00026.png
83,84,8,8,76,77,1,Train/1/00001_00020_00028.png
27,28,6,5,21,22,1,Train/1/00001_00021_00001.png
28,29,5,5,23,24,1,Train/1/00001_00021_00005.png
29,31,5,6,23,25,1,Train/1/00001_00021_00006.png
34,36,5,5,29,31,1,Train/1/00001_00021_00014.png
36,36,6,5,31,31,1,Train/1/00001_00021_00015.png
39,39,6,5,34,34,1,Train/1/00001_00021_00017.png
42,43,6,5,37,38,1,Train/1/00001_00021_00020.png
47,49,6,6,42,44,1,Train/1/00001_00021_00022.png
50,51,5,5,44,46,1,Train/1/00001_00021_00024.png
57,58,6,6,52,53,1,Train/1/00001_00021_00026.png
71,74,7,7,65,68,1,Train/1/00001_00021_00029.png
33,36,5,6,27,31,1,Train/1/00001_00022_00003.png
37,38,5,6,31,33,1,Train/1/00001_00022_00007.png
38,39,6,5,33,33,1,Train/1/00001_00022_00009.png
41,41,6,5,36,36,1,Train/1/00001_00022_00012.png
53,52,6,5,48,47,1,Train/1/00001_00022_00019.png
55,54,6,5,50,49,1,Train/1/00001_00022_00020.png
71,71,7,7,65,65,1,Train/1/00001_00022_00023.png
76,75,7,6,69,68,1,Train/1/00001_00022_00024.png
83,83,8,8,76,76,1,Train/1/00001_00022_00025.png
110,112,9,10,101,103,1,Train/1/00001_00022_00028.png
132,132,11,11,121,121,1,Train/1/00001_00022_00029.png
32,30,6,5,27,25,1,Train/1/00001_00023_00000.png
31,31,5,5,26,25,1,Train/1/00001_00023_00001.png
33,32,5,6,27,27,1,Train/1/00001_00023_00002.png
38,35,6,5,32,29,1,Train/1/00001_00023_00006.png
40,37,6,5,34,31,1,Train/1/00001_00023_00014.png
39,38,5,6,34,33,1,Train/1/00001_00023_00016.png
45,42,5,5,40,37,1,Train/1/00001_00023_00023.png
25,28,5,6,20,22,1,Train/1/00001_00024_00000.png
27,29,6,6,22,24,1,Train/1/00001_00024_00002.png
28,28,6,6,23,23,1,Train/1/00001_00024_00011.png
32,32,6,5,27,27,1,Train/1/00001_00024_00025.png
28,28,5,6,23,23,1,Train/1/00001_00025_00003.png
30,28,6,5,24,23,1,Train/1/00001_00025_00004.png
30,30,6,6,25,25,1,Train/1/00001_00025_00005.png
29,29,5,5,24,24,1,Train/1/00001_00025_00007.png
31,30,6,5,26,25,1,Train/1/00001_00025_00008.png
35,32,6,5,29,27,1,Train/1/00001_00025_00012.png
39,38,6,6,34,33,1,Train/1/00001_00025_00016.png
42,41,6,5,37,35,1,Train/1/00001_00025_00019.png
45,45,5,6,39,39,1,Train/1/00001_00025_00021.png
48,46,5,5,42,41,1,Train/1/00001_00025_00022.png
52,51,5,5,46,45,1,Train/1/00001_00025_00024.png
63,60,6,5,58,55,1,Train/1/00001_00025_00027.png
67,63,6,5,61,58,1,Train/1/00001_00025_00028.png
63,63,6,5,58,57,1,Train/1/00001_00026_00010.png
74,71,6,7,67,65,1,Train/1/00001_00026_00015.png
80,81,7,8,73,73,1,Train/1/00001_00026_00019.png
86,88,7,8,79,80,1,Train/1/00001_00026_00022.png
99,100,8,8,91,91,1,Train/1/00001_00026_00025.png
106,106,9,9,96,96,1,Train/1/00001_00026_00026.png
108,108,9,9,99,99,1,Train/1/00001_00026_00027.png
33,34,5,6,28,28,1,Train/1/00001_00027_00005.png
32,32,5,5,27,27,1,Train/1/00001_00027_00007.png
34,34,5,6,28,29,1,Train/1/00001_00027_00008.png
34,35,5,5,29,29,1,Train/1/00001_00027_00009.png
36,36,5,5,31,31,1,Train/1/00001_00027_00010.png
48,48,6,5,43,43,1,Train/1/00001_00027_00018.png
51,51,6,5,46,46,1,Train/1/00001_00027_00020.png
58,59,6,5,53,53,1,Train/1/00001_00027_00023.png
72,74,7,7,66,68,1,Train/1/00001_00027_00026.png
36,42,6,6,31,37,1,Train/1/00001_00028_00012.png
47,56,5,6,41,51,1,Train/1/00001_00028_00019.png
55,63,6,5,49,58,1,Train/1/00001_00028_00021.png
56,69,5,7,51,63,1,Train/1/00001_00028_00022.png
94,111,8,10,85,102,1,Train/1/00001_00028_00027.png
33,34,6,5,28,29,1,Train/1/00001_00029_00000.png
33,36,6,6,28,30,1,Train/1/00001_00029_00001.png
36,38,6,5,31,32,1,Train/1/00001_00029_00004.png
40,41,5,5,35,36,1,Train/1/00001_00029_00010.png
44,44,5,5,38,38,1,Train/1/00001_00029_00013.png
49,49,6,5,44,44,1,Train/1/00001_00029_00015.png
55,56,6,5,50,50,1,Train/1/00001_00029_00019.png
57,57,6,5,52,52,1,Train/1/00001_00029_00020.png
107,109,10,9,98,99,1,Train/1/00001_00029_00027.png
32,37,6,5,26,31,1,Train/1/00001_00030_00003.png
32,39,5,5,27,34,1,Train/1/00001_00030_00005.png
33,41,5,5,28,36,1,Train/1/00001_00030_00007.png
34,44,5,6,28,38,1,Train/1/00001_00030_00009.png
37,47,6,6,32,42,1,Train/1/00001_00030_00011.png
38,48,5,5,32,43,1,Train/1/00001_00030_00013.png
46,59,5,5,40,54,1,Train/1/00001_00030_00018.png
48,60,5,5,43,54,1,Train/1/00001_00030_00019.png
72,91,6,8,66,83,1,Train/1/00001_00030_00025.png
30,31,6,6,24,25,1,Train/1/00001_00031_00004.png
29,30,5,5,24,25,1,Train/1/00001_00031_00005.png
29,33,5,6,24,28,1,Train/1/00001_00031_00007.png
36,36,6,6,31,31,1,Train/1/00001_00031_00009.png
40,39,6,5,35,34,1,Train/1/00001_00031_00012.png
41,40,6,5,36,35,1,Train/1/00001_00031_00013.png
74,73,7,7,68,66,1,Train/1/00001_00031_00025.png
36,37,5,6,31,32,1,Train/1/00001_00032_00007.png
47,47,6,6,42,42,1,Train/1/00001_00032_00015.png
52,53,5,6,47,48,1,Train/1/00001_00032_00018.png
59,59,6,6,53,54,1,Train/1/00001_00032_00020.png
62,64,5,6,56,58,1,Train/1/00001_00032_00021.png
121,120,10,11,110,109,1,Train/1/00001_00032_00028.png
30,30,6,5,25,25,1,Train/1/00001_00033_00000.png
31,33,5,6,26,27,1,Train/1/00001_00033_00005.png
34,33,6,5,28,28,1,Train/1/00001_00033_00006.png
34,35,6,6,29,30,1,Train/1/00001_00033_00008.png
37,36,6,5,32,31,1,Train/1/00001_00033_00011.png
37,36,6,5,32,31,1,Train/1/00001_00033_00012.png
37,37,6,6,32,32,1,Train/1/00001_00033_00013.png
40,40,6,6,35,35,1,Train/1/00001_00033_00015.png
42,42,5,6,36,37,1,Train/1/00001_00033_00017.png
53,52,6,6,48,47,1,Train/1/00001_00033_00023.png
55,53,5,5,50,48,1,Train/1/00001_00033_00024.png
58,56,5,5,53,51,1,Train/1/00001_00033_00025.png
30,31,6,6,25,25,1,Train/1/00001_00034_00001.png
34,33,6,5,28,27,1,Train/1/00001_00034_00007.png
35,34,6,5,30,29,1,Train/1/00001_00034_00009.png
35,35,5,5,30,30,1,Train/1/00001_00034_00010.png
98,98,9,8,90,89,1,Train/1/00001_00034_00027.png
28,30,5,6,23,25,1,Train/1/00001_00035_00007.png
29,30,6,6,24,25,1,Train/1/00001_00035_00008.png
31,32,6,6,25,26,1,Train/1/00001_00035_00010.png
37,38,6,5,32,32,1,Train/1/00001_00035_00017.png
48,47,6,6,43,42,1,Train/1/00001_00035_00021.png
63,59,5,5,57,54,1,Train/1/00001_00035_00025.png
38,38,6,6,33,33,1,Train/1/00001_00036_00010.png
64,62,5,5,59,57,1,Train/1/00001_00036_00025.png
27,27,5,5,22,22,1,Train/1/00001_00037_00005.png
28,28,6,6,23,23,1,Train/1/00001_00037_00006.png
36,36,5,5,31,31,1,Train/1/00001_00037_00015.png
29,30,6,6,24,25,1,Train/1/00001_00038_00003.png
31,33,5,6,26,28,1,Train/1/00001_00038_00010.png
32,34,5,6,27,29,1,Train/1/00001_00038_00011.png
39,41,5,6,34,36,1,Train/1/00001_00038_00020.png
40,43,5,6,35,38,1,Train/1/00001_00038_00021.png
41,42,6,5,36,37,1,Train/1/00001_00038_00022.png
43,46,5,6,38,41,1,Train/1/00001_00038_00024.png
51,54,5,6,46,49,1,Train/1/00001_00038_00027.png
37,35,6,5,32,30,1,Train/1/00001_00039_00002.png
36,38,5,6,31,33,1,Train/1/00001_00039_00005.png
45,46,5,5,40,41,1,Train/1/00001_00039_00013.png
56,57,5,5,51,52,1,Train/1/00001_00039_00018.png
104,108,9,10,95,99,1,Train/1/00001_00039_00028.png
33,34,6,6,28,29,1,Train/1/00001_00040_00000.png
38,37,6,5,33,32,1,Train/1/00001_00040_00006.png
40,42,5,5,35,37,1,Train/1/00001_00040_00009.png
43,45,5,5,38,40,1,Train/1/00001_00040_00012.png
54,54,6,6,49,49,1,Train/1/00001_00040_00017.png
53,56,5,5,48,51,1,Train/1/00001_00040_00018.png
58,59,5,5,53,54,1,Train/1/00001_00040_00020.png
71,73,6,6,65,67,1,Train/1/00001_00040_00023.png
